City ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Tuban,ID,82.6,overcast clouds,-6.8976,112.0649,Hotel Mustika
14,Atuona,PF,76.8,clear sky,-9.8,-139.0333,Villa Enata
20,Hithadhoo,MV,80.73,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
30,Takoradi,GH,75.67,light rain,4.8845,-1.7554,Raybow International Hotel
32,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
34,Kendari,ID,84.58,overcast clouds,-3.945,122.4989,Hotel Wixel
38,Soyo,AO,76.1,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
39,Port Keats,AU,89.67,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
47,Dingle,PH,81.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
48,Pringsewu,ID,79.72,overcast clouds,-5.3582,104.9744,Urban Style by Front One
53,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Hilo,US,88.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
61,Hambantota,LK,75.54,overcast clouds,6.1241,81.1185,Bungalow 63
77,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
79,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Lorengau,PG,85.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
97,Faanui,PF,78.8,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Namatanai,PG,85.44,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
103,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
112,Ishikawa,JP,82.72,overcast clouds,26.4233,127.8214,Sheraton Okinawa Sunmarina Resort
113,Makasar,ID,86.05,few clouds,-5.14,119.4221,Aryaduta Makassar
115,Isangel,VU,80.64,few clouds,-19.55,169.2667,Tanna Lodge
117,Funadhoo,MV,80.96,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
118,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
121,Qui Nhon,VN,77.97,overcast clouds,13.7667,109.2333,Seagull Hotel
125,San Patricio,US,82.35,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
135,Biak,ID,83.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
145,Kahului,US,87.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
146,Lodwar,KE,81.93,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
149,Butaritari,KI,81.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
164,Riohacha,CO,78.84,broken clouds,11.5444,-72.9072,Hotel Taroa
182,Palmas Bellas,PA,79.25,light rain,9.2319,-80.0867,Antigua Residencia Galván
189,Celestun,MX,81.52,light rain,20.8667,-90.4,Posada Lilia
191,Katsuura,JP,75.25,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
195,George Town,MY,84.24,few clouds,5.4112,100.3354,Cititel Penang
196,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,hotel la terminal
197,Tuy Hoa,VN,77.59,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
202,Ratnagiri,IN,78.48,overcast clouds,16.9833,73.3,Hotel Landmark
211,Karratha,AU,84.65,clear sky,-20.7377,116.8463,ibis Styles Karratha
214,Parrita,CR,75.16,overcast clouds,9.5201,-84.3225,Beso del Viento
216,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
217,Mackay,AU,85.68,few clouds,-21.15,149.2,International Lodge Motel
220,Samarai,PG,81.72,scattered clouds,-10.6167,150.6667,Nuli Sapi
221,Bambanglipuro,ID,81.63,overcast clouds,-7.95,110.2833,Puri Brata
222,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
230,Anloga,GH,78.73,overcast clouds,5.7947,0.8973,Pin Drop Hotel
232,Puerto Carreno,CO,76.05,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
236,Bullhead City,US,80.02,scattered clouds,35.1478,-114.5683,Harrah’s Laughlin Beach Resort & Casino
247,Balikpapan,ID,85.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
248,Dwarka,IN,81.1,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
250,Bloomingdale,US,80.46,overcast clouds,27.8936,-82.2404,Travel Club for Free
252,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
254,Davila,PH,82.38,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
256,Charters Towers,AU,89.46,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
258,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
261,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
263,Tomatlan,MX,77.85,few clouds,19.9333,-105.25,El Salvial
270,Kavieng,PG,83.91,light rain,-2.5744,150.7967,Nusa Island Retreat
272,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
273,Bonthe,SL,76.59,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
274,Champerico,GT,79.25,moderate rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
275,Belmopan,BZ,79.18,broken clouds,17.25,-88.7667,Villa San Juan
277,Jackson,US,78.67,clear sky,42.4165,-122.8345,Agate Village Apartments
280,Texas City,US,80.73,few clouds,29.3838,-94.9027,Crystal Suites
281,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
282,Portland,US,76.98,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
283,Acapulco,MX,84.02,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
285,Mandera,KE,76.87,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
287,Auki,SB,88.23,scattered clouds,-8.7676,160.7034,Auki Motel
291,Saint George,US,76.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
298,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Hadejia,NG,77.9,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
306,Baracoa,CU,78.49,few clouds,20.3467,-74.4958,Hostal Rio Miel
313,Sao Felix Do Xingu,BR,77.31,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
316,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
323,Harper,LR,75.51,overcast clouds,4.375,-7.7169,Screensaver
324,Bilma,NE,78.19,clear sky,18.6853,12.9164,Expeditions Ténére voyages
326,Zempoala,MX,78.91,scattered clouds,19.45,-96.4167,Panteon Cempoala
329,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
332,Sorong,ID,83.62,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
333,Touros,BR,77.47,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
337,Nyimba,ZM,75.99,clear sky,-14.5566,30.8149,Dali Dali Lodge
338,Benjamin Aceval,PY,78.94,scattered clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
340,Mogadishu,SO,77.63,broken clouds,2.0371,45.3438,Hotel Juba
343,Marsh Harbour,BS,79.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
347,Kismayo,SO,76.93,overcast clouds,-0.3582,42.5454,Agan-Hotel
350,Kirakira,SB,84.49,broken clouds,-10.4544,161.9205,SanBiz Lodge
351,Burla,IN,77.61,clear sky,21.5,83.8667,Manoj Kumar Sahoo
361,Katobu,ID,88.14,overcast clouds,-4.9408,122.5276,La Ode Husein
