City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Malibu,US,34.005,-118.8101,72.1,87,20,1.99,few clouds
1,Gazojak,TM,41.1875,61.4036,60.84,42,70,11.16,broken clouds
2,Necochea,AR,-38.5473,-58.7368,47.97,79,20,10.27,few clouds
3,Hami,CN,42.8,93.45,54.7,22,4,0.96,clear sky
4,Port Elizabeth,ZA,-33.918,25.5701,67.1,96,100,3.44,overcast clouds
5,Vestmannaeyjar,IS,63.4427,-20.2734,41.49,65,4,4.34,clear sky
6,Tuban,ID,-6.8976,112.0649,82.6,71,100,14.72,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,44.26,61,0,1.14,clear sky
8,Hermanus,ZA,-34.4187,19.2345,58.8,88,0,6.85,clear sky
9,La Ronge,CA,55.1001,-105.2842,35.85,55,100,9.22,overcast clouds
10,Sambava,MG,-14.2667,50.1667,67.55,86,2,7.92,clear sky
11,Varkaus,FI,62.3153,27.873,47.3,85,100,13.96,overcast clouds
12,Ilulissat,GL,69.2167,-51.1,41.02,60,100,5.75,overcast clouds
13,Srednekolymsk,RU,67.45,153.6833,11.26,84,46,2.91,scattered clouds
14,Atuona,PF,-9.8,-139.0333,76.8,73,10,8.55,clear sky
15,Bluff,NZ,-46.6,168.3333,56.8,67,100,16.73,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,68.72,62,0,17.02,clear sky
17,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,0,8.99,clear sky
18,Port Alfred,ZA,-33.5906,26.891,62.19,97,100,13.29,overcast clouds
19,Seddon,AU,-37.8068,144.8916,62.56,56,40,8.05,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,80.73,67,100,8.32,overcast clouds
21,Kapaa,US,22.0752,-159.319,84.18,66,40,11.5,scattered clouds
22,Fontenay-Le-Comte,FR,46.5833,-1.0,67.64,86,100,2.55,light rain
23,Saskylakh,RU,71.9167,114.0833,17.55,91,69,15.9,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,11.5,clear sky
25,Tura,IN,25.5198,90.2201,70.61,90,0,2.82,clear sky
26,Mataura,NZ,-46.1927,168.8643,56.48,46,100,4.32,overcast clouds
27,Kholm-Zhirkovskiy,RU,55.5189,33.4731,43.5,66,100,15.99,overcast clouds
28,Havoysund,NO,70.9963,24.6622,44.83,85,100,10.33,overcast clouds
29,Salalah,OM,17.0151,54.0924,75.29,60,0,2.3,clear sky
30,Takoradi,GH,4.8845,-1.7554,75.67,91,99,5.91,light rain
31,Puerto Ayora,EC,-0.7393,-90.3518,67.55,84,98,7.0,overcast clouds
32,Georgetown,MY,5.4112,100.3354,84.13,86,20,2.3,few clouds
33,Lavrentiya,RU,65.5833,-171.0,31.89,74,100,24.43,overcast clouds
34,Kendari,ID,-3.945,122.4989,84.58,72,94,2.73,overcast clouds
35,Klaksvik,FO,62.2266,-6.589,45.52,86,87,23.76,overcast clouds
36,Oranjemund,NA,-28.55,16.4333,58.08,92,0,3.98,clear sky
37,Myrtle Beach,US,33.6891,-78.8867,73.04,78,0,11.5,clear sky
38,Soyo,AO,-6.1349,12.3689,76.1,87,58,7.9,broken clouds
39,Port Keats,AU,-14.25,129.55,89.67,57,100,10.29,overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,62.78,85,50,3.0,light rain
41,Shiraoi,JP,42.55,141.35,69.58,72,88,8.7,overcast clouds
42,Jalor,IN,25.35,72.6167,73.63,34,0,3.38,clear sky
43,Albany,US,42.6001,-73.9662,47.52,84,21,1.83,few clouds
44,Dudinka,RU,69.4058,86.1778,27.63,97,100,10.87,light snow
45,Rabo De Peixe,PT,37.8,-25.5833,65.71,82,40,13.8,scattered clouds
46,Ust-Tsilma,RU,65.441,52.1498,41.14,93,100,6.76,overcast clouds
47,Dingle,PH,10.9995,122.6711,81.95,78,100,9.42,overcast clouds
48,Pringsewu,ID,-5.3582,104.9744,79.72,84,98,4.79,overcast clouds
49,Waipawa,NZ,-41.4122,175.5153,57.34,68,81,2.26,broken clouds
50,Igarka,RU,67.4667,86.5833,30.54,86,100,7.81,overcast clouds
51,Qaanaaq,GL,77.484,-69.3632,15.46,87,99,4.18,overcast clouds
52,Kibaya,TZ,-5.3,36.5667,59.02,83,100,6.31,overcast clouds
53,Bengkulu,ID,-3.8004,102.2655,77.74,84,100,2.55,overcast clouds
54,Guerrero Negro,MX,27.9769,-114.0611,70.12,63,1,13.98,clear sky
55,New Norfolk,AU,-42.7826,147.0587,55.92,45,97,4.0,overcast clouds
56,Hobart,AU,-42.8794,147.3294,57.06,65,75,17.27,broken clouds
57,Chokurdakh,RU,70.6333,147.9167,15.22,94,100,11.25,overcast clouds
58,Hilo,US,19.7297,-155.09,88.29,75,75,6.91,light rain
59,Bairiki,KI,1.3292,172.9752,87.8,66,20,17.27,few clouds
60,San Carlos De Bariloche,AR,-41.1456,-71.3082,58.01,62,75,21.85,broken clouds
61,Hambantota,LK,6.1241,81.1185,75.54,100,100,5.75,overcast clouds
62,Provideniya,RU,64.3833,-173.3,32.36,74,100,18.01,overcast clouds
63,Jamestown,US,42.097,-79.2353,53.24,65,100,4.61,overcast clouds
64,Khatanga,RU,71.9667,102.5,14.22,98,100,6.58,overcast clouds
65,Barrow,US,71.2906,-156.7887,30.22,80,100,23.02,overcast clouds
66,Codajas,BR,-3.8367,-62.0569,74.86,90,94,2.64,heavy intensity rain
67,Margate,GB,51.3813,1.3862,62.87,93,44,5.01,scattered clouds
68,Zapadnaya Dvina,RU,56.259,32.0745,44.55,82,100,11.9,light rain
69,Soldatskaya,RU,43.8181,43.8158,51.91,88,100,9.31,overcast clouds
70,Camopi,GF,3.1655,-52.3158,74.64,81,38,3.98,scattered clouds
71,Cordenons,IT,45.9836,12.6949,59.02,92,10,2.84,clear sky
72,Garowe,SO,8.4054,48.4845,73.9,80,36,10.58,light rain
73,Bahua,IN,25.85,80.6333,70.81,64,0,1.01,clear sky
74,Ryotsu,JP,38.0833,138.4333,70.07,75,64,9.93,broken clouds
75,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,71.4,99,100,2.35,overcast clouds
76,Nikolskoye,RU,59.7035,30.7861,53.49,85,90,14.2,overcast clouds
77,Avarua,CK,-21.2078,-159.775,78.85,69,75,10.36,broken clouds
78,Bethanien,NA,-26.502,17.1583,64.35,54,17,6.93,few clouds
79,Vaini,TO,-21.2,-175.2,78.96,89,75,9.22,broken clouds
80,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
81,Castro,BR,-24.7911,-50.0119,57.4,95,4,2.39,clear sky
82,Mehamn,NO,71.0357,27.8492,44.55,87,75,9.22,broken clouds
83,Lorengau,PG,-2.0226,147.2712,85.53,67,98,8.79,overcast clouds
84,Yarim,YE,14.298,44.3779,51.98,44,0,5.26,clear sky
85,Ponta Do Sol,PT,32.6667,-17.1,70.0,72,73,4.36,broken clouds
86,Oxford,GB,51.7522,-1.256,61.05,94,100,8.05,overcast clouds
87,Mar Del Plata,AR,-38.0023,-57.5575,56.08,90,0,11.99,clear sky
88,Busselton,AU,-33.65,115.3333,59.92,67,75,10.65,broken clouds
89,San Isidro,PE,-12.1167,-77.05,63.01,80,40,13.8,scattered clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,21.85,light snow
91,Souillac,MU,-20.5167,57.5167,68.38,88,75,16.11,light intensity shower rain
92,Poddorye,RU,57.4695,31.1156,49.06,86,89,13.22,overcast clouds
93,Prince Albert,CA,53.2001,-105.7677,35.55,55,100,10.36,overcast clouds
94,Nemuro,JP,43.3236,145.575,60.89,83,100,17.31,overcast clouds
95,Benguela,AO,-12.5763,13.4055,73.94,83,22,6.35,few clouds
96,Fort Nelson,CA,58.8053,-122.7002,42.39,56,20,0.0,few clouds
97,Faanui,PF,-16.4833,-151.75,78.8,70,1,13.47,clear sky
98,Kodiak,US,57.79,-152.4072,49.51,76,75,16.11,light rain
99,Namatanai,PG,-3.6667,152.4333,85.44,67,100,8.48,overcast clouds
100,Kaitangata,NZ,-46.2817,169.8464,57.51,52,94,3.33,overcast clouds
101,Loreto,MX,22.2667,-101.9667,70.57,29,48,2.13,scattered clouds
102,Beira,MZ,-19.8436,34.8389,69.89,94,20,4.61,few clouds
103,Yeppoon,AU,-23.1333,150.7333,80.38,73,80,8.77,broken clouds
104,Bethel,US,41.3712,-73.414,54.63,84,20,4.61,few clouds
105,Martinsville,US,36.6915,-79.8725,63.01,86,100,3.44,light rain
106,Aswan,EG,24.0934,32.907,74.5,40,0,8.05,clear sky
107,Cape Town,ZA,-33.9258,18.4232,63.27,90,40,12.66,scattered clouds
108,Kenai,US,60.5544,-151.2583,46.49,97,100,9.22,moderate rain
109,Cherskiy,RU,68.75,161.3,6.15,93,55,6.6,broken clouds
110,Arman,RU,59.7,150.1667,26.42,50,100,11.81,overcast clouds
111,Torbay,CA,47.6666,-52.7314,53.76,92,100,17.27,light intensity shower rain
112,Ishikawa,JP,26.4233,127.8214,82.72,78,100,11.5,overcast clouds
113,Makasar,ID,-5.14,119.4221,86.05,70,20,2.3,few clouds
114,Stephenville,US,32.2207,-98.2023,67.24,78,0,9.22,clear sky
115,Isangel,VU,-19.55,169.2667,80.64,65,14,5.37,few clouds
116,Resistencia,AR,-27.4606,-58.9839,73.38,63,0,10.36,clear sky
117,Funadhoo,MV,6.15,73.2667,80.96,80,100,22.75,overcast clouds
118,Victoria,HK,22.2855,114.1577,82.45,49,100,21.0,overcast clouds
119,Preobrazheniye,RU,42.9019,133.9064,49.05,42,41,10.49,scattered clouds
120,Okhotsk,RU,59.3833,143.3,29.43,45,0,15.01,clear sky
121,Qui Nhon,VN,13.7667,109.2333,77.97,79,100,4.34,overcast clouds
122,Campos Novos,BR,-27.4017,-51.225,54.95,98,5,1.01,clear sky
123,East London,ZA,-33.0153,27.9116,65.79,90,100,11.65,overcast clouds
124,Abu Samrah,SY,35.3029,37.1841,67.96,52,0,4.9,clear sky
125,San Patricio,US,28.017,-97.5169,82.35,65,28,10.0,scattered clouds
126,Shumikha,RU,55.2261,63.2961,40.69,72,100,11.79,overcast clouds
127,Chuy,UY,-33.6971,-53.4616,58.23,93,100,16.8,overcast clouds
128,Cidreira,BR,-30.1811,-50.2056,64.22,98,98,5.14,overcast clouds
129,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,37,6.82,scattered clouds
130,Kukuna,SL,9.4,-12.6667,72.59,98,100,2.01,light rain
131,Tiksi,RU,71.6872,128.8694,19.18,88,100,19.51,overcast clouds
132,Marystown,CA,47.1666,-55.1483,56.71,95,100,26.82,light rain
133,Rodrigues Alves,BR,-7.738,-72.6509,71.89,99,100,2.08,moderate rain
134,Beringovskiy,RU,63.05,179.3167,25.63,62,66,15.93,broken clouds
135,Biak,ID,-0.9131,122.8766,83.19,69,100,1.83,overcast clouds
136,Bara,NG,10.3744,10.7288,72.57,76,22,3.62,few clouds
137,Upernavik,GL,72.7868,-56.1549,36.57,96,100,17.94,light rain
138,Mahebourg,MU,-20.4081,57.7,68.29,88,75,16.11,light intensity shower rain
139,Vila Velha,BR,-20.3297,-40.2925,70.95,89,20,3.44,few clouds
140,Tigil,RU,57.8,158.6667,32.88,71,100,8.84,overcast clouds
141,Walvis Bay,NA,-22.9575,14.5053,60.1,82,24,3.44,few clouds
142,Yellowknife,CA,62.456,-114.3525,34.32,80,75,15.01,broken clouds
143,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,66,98,13.42,light rain
144,Crossville,US,35.949,-85.0269,57.85,96,100,3.0,mist
145,Kahului,US,20.8947,-156.47,87.82,59,0,19.57,clear sky
146,Lodwar,KE,3.1191,35.5973,81.93,51,100,16.13,overcast clouds
147,Kamenka,RU,51.3223,42.7678,36.66,75,6,1.59,clear sky
148,Carnarvon,AU,-24.8667,113.6333,69.28,52,23,21.34,few clouds
149,Butaritari,KI,3.0707,172.7902,81.28,74,5,14.76,clear sky
150,Moose Factory,CA,51.2585,-80.6094,42.8,93,100,6.91,mist
151,Bereda,ES,43.2686,-7.5406,57.42,100,100,0.43,light rain
152,Salou,ES,41.0766,1.1416,71.04,89,0,6.91,clear sky
153,Umm Kaddadah,SD,13.6017,26.6876,81.61,18,100,17.63,overcast clouds
154,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,16.11,light intensity shower rain
155,Qaqortoq,GL,60.7167,-46.0333,29.61,62,48,6.51,scattered clouds
156,Changping,CN,40.2186,116.2197,55.04,14,0,10.45,clear sky
157,Tasiilaq,GL,65.6145,-37.6368,30.36,66,100,7.18,overcast clouds
158,Hervey Bay,AU,-25.2986,152.8535,69.03,83,85,8.99,overcast clouds
159,Ylojarvi,FI,61.5563,23.5961,46.31,96,100,10.36,light rain
160,Lebu,CL,-37.6167,-73.65,51.24,92,82,14.56,broken clouds
161,Nowy Dwor Gdanski,PL,54.2131,19.1177,49.77,89,70,5.01,broken clouds
162,Kurayoshi,JP,35.4333,133.8167,71.51,64,33,8.46,scattered clouds
163,Severo-Kurilsk,RU,50.6789,156.125,49.93,82,100,18.14,overcast clouds
164,Riohacha,CO,11.5444,-72.9072,78.84,87,51,6.55,broken clouds
165,Messina,IT,38.1933,15.5497,66.2,81,0,8.05,clear sky
166,Lata,PT,40.1629,-8.3327,65.8,79,98,4.54,overcast clouds
167,Sitka,US,57.0531,-135.33,57.09,88,100,5.75,overcast clouds
168,Thompson,CA,55.7435,-97.8558,23.16,74,40,3.44,scattered clouds
169,Shatin,AM,39.8357,45.3019,55.6,58,17,3.0,few clouds
170,Esperance,AU,-33.8667,121.9,60.64,76,89,23.02,overcast clouds
171,Nanortalik,GL,60.1432,-45.2371,34.97,71,15,9.53,few clouds
172,Fenoarivo Atsinanana,MG,-17.3667,49.4167,65.35,89,27,4.09,scattered clouds
173,Pechenga,RU,69.5259,31.1703,42.98,97,100,4.43,overcast clouds
174,Tarifa,ES,36.0139,-5.607,71.62,80,42,10.16,scattered clouds
175,Nampula,MZ,-15.1165,39.2666,66.15,88,40,5.75,scattered clouds
176,Arraial Do Cabo,BR,-22.9661,-42.0278,71.11,88,99,21.14,overcast clouds
177,Salta,AR,-24.7859,-65.4117,61.57,76,100,6.91,overcast clouds
178,Saint-Louis,SN,16.3333,-15.0,86.22,38,0,9.04,clear sky
179,Huarmey,PE,-10.0681,-78.1522,62.29,84,91,9.64,overcast clouds
180,Berdigestyakh,RU,62.0989,126.6992,30.25,96,100,7.16,light snow
181,Ust-Kuyga,RU,70.0167,135.6,15.6,94,100,5.12,overcast clouds
182,Palmas Bellas,PA,9.2319,-80.0867,79.25,88,99,4.88,light rain
183,Kerouane,GN,9.2667,-9.0167,68.45,97,100,3.51,overcast clouds
184,Paengaroa,NZ,-37.8167,176.4167,67.89,65,46,7.0,scattered clouds
185,Djambala,CG,-2.5447,14.7533,67.66,90,92,2.39,overcast clouds
186,Mhango,TZ,-3.2833,32.85,70.23,66,100,4.99,overcast clouds
187,Lagoa,PT,39.05,-27.9833,65.73,67,55,25.64,light rain
188,Laguna,US,38.421,-121.4238,70.32,63,0,9.22,clear sky
189,Celestun,MX,20.8667,-90.4,81.52,81,30,13.76,light rain
190,Ler,SS,8.3018,30.1418,68.86,95,100,3.51,light rain
191,Katsuura,JP,35.1333,140.3,75.25,85,100,9.28,overcast clouds
192,Kruisfontein,ZA,-34.0033,24.7314,64.89,66,100,5.59,overcast clouds
193,Belogorsk,RU,50.9158,128.4611,38.1,46,85,16.69,overcast clouds
194,Sungaipenuh,ID,-2.0833,101.3833,68.92,89,100,1.72,moderate rain
195,George Town,MY,5.4112,100.3354,84.24,80,20,2.3,few clouds
196,Ixtapa,MX,20.7,-105.2,83.43,79,75,0.0,broken clouds
197,Tuy Hoa,VN,13.0833,109.3,77.59,81,100,4.21,overcast clouds
198,Vadso,NO,70.0744,29.7487,40.08,93,20,6.91,few clouds
199,Eureka,US,40.8021,-124.1637,66.2,79,100,4.0,overcast clouds
200,Komsomolskiy,UZ,40.4272,71.7189,54.32,47,100,4.61,overcast clouds
201,Yebaishou,CN,41.3975,119.6408,45.39,24,0,20.71,clear sky
202,Ratnagiri,IN,16.9833,73.3,78.48,87,100,7.47,overcast clouds
203,Shagonar,RU,51.5333,92.8,35.58,42,100,1.36,overcast clouds
204,Maceio,BR,-9.6658,-35.7353,72.84,94,0,3.44,clear sky
205,Codrington,AU,-38.2667,141.9667,57.27,59,99,5.91,overcast clouds
206,Whitehorse,CA,60.7161,-135.0538,59.77,51,20,17.27,few clouds
207,Birao,CF,10.2849,22.7882,71.26,64,97,2.59,overcast clouds
208,Luanda,AO,-8.8368,13.2343,74.77,84,68,7.96,broken clouds
209,Tambo Grande,PE,-4.9269,-80.3447,68.77,63,76,11.32,broken clouds
210,Hamilton,US,39.1834,-84.5333,62.04,49,20,10.36,few clouds
211,Karratha,AU,-20.7377,116.8463,84.65,24,0,9.22,clear sky
212,Clyde River,CA,70.4692,-68.5914,32.23,93,100,19.57,overcast clouds
213,Shipley,GB,53.8333,-1.7667,58.41,96,75,10.36,mist
214,Parrita,CR,9.5201,-84.3225,75.16,93,100,3.49,overcast clouds
215,Russell,US,32.3502,-85.1999,72.63,52,89,3.0,overcast clouds
216,Kuching,MY,1.55,110.3333,77.22,100,20,1.99,few clouds
217,Mackay,AU,-21.15,149.2,85.68,68,16,10.47,few clouds
218,Taos,US,36.4072,-105.5731,46.8,73,75,13.8,broken clouds
219,Vardo,NO,70.3705,31.1107,39.18,93,100,2.3,overcast clouds
220,Samarai,PG,-10.6167,150.6667,81.72,81,49,10.16,scattered clouds
221,Bambanglipuro,ID,-7.95,110.2833,81.63,74,100,10.42,overcast clouds
222,Puerto Escondido,MX,15.85,-97.0667,79.63,61,75,4.61,broken clouds
223,Hun,LY,29.1268,15.9477,64.89,67,56,3.42,broken clouds
224,Evanston,US,42.0411,-87.6901,48.38,56,75,11.5,broken clouds
225,Caravelas,BR,-17.7125,-39.2481,73.4,81,4,7.74,clear sky
226,Mayo,US,38.8876,-76.5119,64.13,78,100,4.0,overcast clouds
227,Huilong,CN,31.8111,121.655,64.89,60,95,22.77,overcast clouds
228,Iqaluit,CA,63.7506,-68.5145,40.73,86,75,20.71,broken clouds
229,Kaeo,NZ,-35.1,173.7833,63.32,93,89,9.98,heavy intensity rain
230,Anloga,GH,5.7947,0.8973,78.73,83,100,6.51,overcast clouds
231,Sinnai,IT,39.3042,9.2036,64.47,78,0,2.3,clear sky
232,Puerto Carreno,CO,6.189,-67.4859,76.05,91,100,8.9,overcast clouds
233,Pevek,RU,69.7008,170.3133,8.13,95,89,4.74,overcast clouds
234,Saldanha,ZA,-33.0117,17.9442,60.85,93,0,8.41,clear sky
235,Luau,AO,-10.7073,22.2247,66.24,74,7,3.15,clear sky
236,Bullhead City,US,35.1478,-114.5683,80.02,44,40,5.75,scattered clouds
237,Beidao,CN,34.5686,105.8933,59.27,39,100,1.86,overcast clouds
238,Hassleholm,SE,56.1591,13.7664,49.55,90,100,6.06,overcast clouds
239,Syracuse,IT,37.0881,15.2792,62.19,75,2,0.29,clear sky
240,Mackenzie,CA,55.2999,-123.1698,59.22,47,0,2.3,clear sky
241,Talnakh,RU,69.4865,88.3972,27.21,96,100,8.01,light snow
242,Port Macquarie,AU,-31.4333,152.9167,67.89,69,65,8.39,broken clouds
243,Port Hardy,CA,50.6996,-127.4199,64.58,59,0,0.0,clear sky
244,Luderitz,NA,-26.6481,15.1594,58.12,90,0,8.86,clear sky
245,Penarroya-Pueblonuevo,ES,38.3,-5.2667,65.44,59,100,1.01,overcast clouds
246,Okahandja,NA,-21.9833,16.9167,63.73,68,3,4.41,clear sky
247,Balikpapan,ID,-1.2675,116.8289,85.19,79,20,6.91,few clouds
248,Dwarka,IN,22.2394,68.9678,81.1,56,17,2.44,few clouds
249,Narsaq,GL,60.9167,-46.05,32.22,69,48,7.02,scattered clouds
250,Bloomingdale,US,27.8936,-82.2404,80.46,77,100,4.0,overcast clouds
251,Razdolinsk,RU,58.4211,94.6658,31.55,68,99,2.44,overcast clouds
252,Denpasar,ID,-8.65,115.2167,80.26,94,75,9.22,broken clouds
253,Chester,US,40.1254,-75.8749,57.56,81,40,1.01,scattered clouds
254,Davila,PH,18.4726,120.5763,82.38,71,100,10.25,overcast clouds
255,Gondar,ET,12.6,37.4667,55.44,68,9,4.97,clear sky
256,Charters Towers,AU,-20.1,146.2667,89.46,37,3,7.54,clear sky
257,Ulladulla,AU,-35.35,150.4667,59.65,66,99,6.71,overcast clouds
258,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,12.66,few clouds
259,Lagos,NG,6.5833,3.75,77.32,94,100,2.17,light rain
260,Ulaangom,MN,49.9811,92.0667,34.93,40,97,0.89,overcast clouds
261,Naze,JP,28.3667,129.4833,79.72,79,99,3.94,overcast clouds
262,Mbandaka,CD,0.0487,18.2603,70.16,94,99,2.42,overcast clouds
263,Tomatlan,MX,19.9333,-105.25,77.85,91,15,4.03,few clouds
264,Geraldton,AU,-28.7667,114.6,64.81,68,40,6.91,scattered clouds
265,Pemba,MZ,-12.974,40.5178,72.3,88,20,3.44,few clouds
266,Ballina,AU,-28.8667,153.5667,70.02,85,23,12.8,few clouds
267,Lasa,IT,46.6166,10.7002,58.08,88,10,1.79,clear sky
268,Bredasdorp,ZA,-34.5322,20.0403,61.0,87,93,5.12,light rain
269,Blind River,CA,46.1834,-82.9582,44.71,85,100,3.83,overcast clouds
270,Kavieng,PG,-2.5744,150.7967,83.91,74,100,11.03,light rain
271,Lompoc,US,34.6391,-120.4579,65.79,75,0,10.36,clear sky
272,Miri,MY,4.4148,114.0089,78.94,89,40,3.44,scattered clouds
273,Bonthe,SL,7.5264,-12.505,76.59,86,99,4.79,overcast clouds
274,Champerico,GT,14.3,-91.9167,79.25,85,100,6.02,moderate rain
275,Belmopan,BZ,17.25,-88.7667,79.18,98,53,2.28,broken clouds
276,Marzuq,YE,14.4,46.4667,66.99,62,9,1.95,clear sky
277,Jackson,US,42.4165,-122.8345,78.67,29,0,14.97,clear sky
278,Tessalit,ML,20.1986,1.0114,80.92,16,24,10.38,few clouds
279,Pangnirtung,CA,66.1451,-65.7125,42.19,92,92,8.1,overcast clouds
280,Texas City,US,29.3838,-94.9027,80.73,87,20,12.66,few clouds
281,Padang,ID,-0.9492,100.3543,78.85,87,100,2.19,overcast clouds
282,Portland,US,45.5234,-122.6762,76.98,54,0,5.99,clear sky
283,Acapulco,MX,16.8634,-99.8901,84.02,79,75,6.91,light rain
284,Brae,GB,60.3964,-1.353,48.63,78,52,8.1,broken clouds
285,Mandera,KE,3.9366,41.867,76.87,72,96,13.02,overcast clouds
286,Killybegs,IE,54.6333,-8.45,51.04,82,83,20.07,broken clouds
287,Auki,SB,-8.7676,160.7034,88.23,57,41,2.06,scattered clouds
288,Verkh-Suetka,RU,53.3,80.05,45.72,83,100,17.02,overcast clouds
289,Mandalgovi,MN,45.7625,106.2708,33.3,29,0,13.09,clear sky
290,Damietta,EG,31.4165,31.8133,73.29,75,0,12.97,clear sky
291,Saint George,US,37.1041,-113.5841,76.95,24,0,8.05,clear sky
292,Mandan,US,46.8267,-100.8896,39.18,54,0,8.05,clear sky
293,Tyrma,RU,50.0833,132.1667,39.13,51,100,5.73,overcast clouds
294,Rio Gallegos,AR,-51.6226,-69.2181,50.05,57,20,6.91,few clouds
295,Mingshui,CN,36.7167,117.5,56.7,20,2,12.44,clear sky
296,Korostyshiv,UA,50.3172,29.0563,39.07,65,54,6.98,broken clouds
297,Warri,NG,5.5167,5.75,74.62,94,99,2.84,overcast clouds
298,Port Blair,IN,11.6667,92.75,80.64,89,40,2.3,scattered clouds
299,Asau,RO,46.4333,26.4,31.12,82,0,3.91,clear sky
300,Hadejia,NG,12.4498,10.0444,77.9,23,8,4.12,clear sky
301,Springbok,ZA,-29.6643,17.8865,52.75,77,0,1.07,clear sky
302,Uyemskiy,RU,64.4743,40.8524,46.45,100,75,8.95,broken clouds
303,Tokur,RU,53.1333,132.9,29.68,52,8,6.51,clear sky
304,Saint Anthony,US,45.0205,-93.218,39.29,55,100,24.16,overcast clouds
305,Kempsey,AU,-31.0833,152.8333,67.95,73,48,5.99,scattered clouds
306,Baracoa,CU,20.3467,-74.4958,78.49,83,17,3.47,few clouds
307,General Pico,AR,-35.6566,-63.7568,58.14,34,76,9.86,broken clouds
308,Lerwick,GB,60.1545,-1.1494,50.0,78,55,9.82,broken clouds
309,Lac Du Bonnet,CA,50.2536,-96.0612,25.11,68,30,10.33,scattered clouds
310,Charyshskoye,RU,51.3978,83.5598,48.42,78,91,8.95,overcast clouds
311,Bloomington,US,44.8408,-93.2983,40.05,55,100,20.71,overcast clouds
312,Mapiripan,CO,2.8892,-72.1256,70.59,95,90,4.16,overcast clouds
313,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.31,74,99,1.5,very heavy rain
314,Zambezi,ZM,-13.5432,23.1047,65.12,33,8,6.29,clear sky
315,Muskegon,US,43.3,-86.1334,48.06,79,100,16.11,moderate rain
316,Oistins,BB,13.0667,-59.5333,82.49,78,20,12.66,few clouds
317,Nioro,GM,13.35,-15.75,75.79,90,79,3.53,light rain
318,Norman Wells,CA,65.282,-126.8329,33.84,86,75,6.91,broken clouds
319,Rocha,UY,-34.4833,-54.3333,56.95,94,96,11.3,overcast clouds
320,Yongan,CN,39.6957,113.6871,37.87,26,0,10.65,clear sky
321,Cambridge,CA,43.3601,-80.3127,51.13,71,75,3.44,broken clouds
322,Qixia,CN,37.2975,120.8256,54.16,33,0,21.0,clear sky
323,Harper,LR,4.375,-7.7169,75.51,86,95,2.75,overcast clouds
324,Bilma,NE,18.6853,12.9164,78.19,22,0,3.78,clear sky
325,Altay,CN,47.8667,88.1167,52.3,24,96,5.12,overcast clouds
326,Zempoala,MX,19.45,-96.4167,78.91,90,28,2.55,scattered clouds
327,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,56,0,6.71,clear sky
328,Batemans Bay,AU,-35.7167,150.1833,60.1,65,99,5.88,overcast clouds
329,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
330,Vokhma,RU,58.9303,46.7586,38.17,91,63,8.97,broken clouds
331,Elverum,NO,60.8819,11.5623,37.47,94,3,3.96,clear sky
332,Sorong,ID,-0.8833,131.25,83.62,72,100,2.13,overcast clouds
333,Touros,BR,-5.1989,-35.4608,77.47,79,100,16.62,overcast clouds
334,Gbarnga,LR,6.9956,-9.4722,70.63,100,100,1.45,overcast clouds
335,Francisco Sa,BR,-16.4758,-43.4883,71.74,47,7,15.64,clear sky
336,Dunedin,NZ,-45.8742,170.5036,52.43,72,100,4.9,overcast clouds
337,Nyimba,ZM,-14.5566,30.8149,75.99,32,5,9.98,clear sky
338,Benjamin Aceval,PY,-24.9667,-57.5667,78.94,90,41,5.03,scattered clouds
339,Bari,IT,41.1177,16.8512,62.85,100,0,5.75,clear sky
340,Mogadishu,SO,2.0371,45.3438,77.63,83,58,6.96,broken clouds
341,Zhigansk,RU,66.7697,123.3711,19.92,92,12,9.06,few clouds
342,Jalu,LY,29.0331,21.5482,65.41,68,0,7.85,clear sky
343,Marsh Harbour,BS,26.5412,-77.0636,79.7,66,0,14.83,clear sky
344,Taoudenni,ML,22.6783,-3.9836,88.09,14,100,13.0,overcast clouds
345,Coihaique,CL,-45.5752,-72.0662,57.81,58,0,1.14,clear sky
346,Talcahuano,CL,-36.7167,-73.1167,53.28,82,0,11.5,clear sky
347,Kismayo,SO,-0.3582,42.5454,76.93,85,89,12.62,overcast clouds
