City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-10-16 21:43:52,-53.15,-70.9167,57.31,44,0,18.41
1,Bluff,NZ,2022-10-16 21:43:53,-46.6,168.3333,56.8,63,79,15.21
2,Busselton,AU,2022-10-16 21:39:37,-33.65,115.3333,53.06,84,54,8.3
3,Skowhegan,US,2022-10-16 21:41:18,44.7651,-69.7192,63.1,79,53,1.99
4,Sitka,US,2022-10-16 21:43:53,57.0531,-135.33,57.09,88,100,5.75
5,Severo-Kurilsk,RU,2022-10-16 21:38:59,50.6789,156.125,44.58,67,100,9.46
6,Olga,RU,2022-10-16 21:43:54,43.7444,135.2892,44.46,78,100,4.0
7,Sanlucar La Mayor,ES,2022-10-16 21:43:54,37.3871,-6.2011,74.48,63,100,1.99
8,Berlevag,NO,2022-10-16 21:43:54,70.8578,29.0864,42.8,87,40,6.91
9,Torbay,CA,2022-10-16 21:43:55,47.6666,-52.7314,52.39,87,100,13.8
10,San Francisco,US,2022-10-16 21:40:04,37.7749,-122.4194,69.75,75,100,10.36
11,Ponta Do Sol,PT,2022-10-16 21:43:55,32.6667,-17.1,72.23,76,51,2.44
12,Negombo,LK,2022-10-16 21:43:55,7.2083,79.8358,77.05,94,40,2.3
13,Dingle,PH,2022-10-16 21:43:56,10.9995,122.6711,77.11,89,100,6.42
14,Hasaki,JP,2022-10-16 21:43:56,35.7333,140.8333,68.4,90,100,7.16
15,Butaritari,KI,2022-10-16 21:43:57,3.0707,172.7902,81.55,70,72,16.49
16,Kibala,TD,2022-10-16 21:41:48,9.1104,18.3463,76.95,94,20,0.0
17,Hurricane,US,2022-10-16 21:42:07,37.1753,-113.2899,78.03,21,100,7.65
18,Ushuaia,AR,2022-10-16 21:43:57,-54.8,-68.3,49.66,50,0,6.91
19,Poyarkovo,RU,2022-10-16 21:43:57,49.6,128.6833,36.03,80,100,14.25
20,Grand Gaube,MU,2022-10-16 21:43:58,-20.0064,57.6608,72.0,78,13,1.99
21,Kapaa,US,2022-10-16 21:43:58,22.0752,-159.319,84.18,65,100,12.66
22,Hermanus,ZA,2022-10-16 21:43:59,-34.4187,19.2345,62.8,89,5,5.66
23,Lucea,JM,2022-10-16 21:43:59,18.451,-78.1736,86.86,75,6,8.66
24,Rikitea,PF,2022-10-16 21:44:00,-23.1203,-134.9692,68.68,61,52,18.07
25,Viani,CO,2022-10-16 21:44:00,4.8738,-74.5624,70.23,80,75,0.74
26,Yellowknife,CA,2022-10-16 21:44:00,62.456,-114.3525,32.52,86,75,18.99
27,Cherskiy,RU,2022-10-16 21:44:01,68.75,161.3,1.42,98,94,6.6
28,Ambon,ID,2022-10-16 21:44:01,-3.6954,128.1814,77.14,88,20,4.61
29,Hilo,US,2022-10-16 21:44:01,19.7297,-155.09,94.28,76,100,9.22
30,Mar Del Plata,AR,2022-10-16 21:44:02,-38.0023,-57.5575,59.02,87,0,11.01
31,Qaanaaq,GL,2022-10-16 21:44:02,77.484,-69.3632,22.32,90,97,6.76
32,Norman Wells,CA,2022-10-16 21:44:03,65.282,-126.8329,33.84,80,75,13.8
33,Katherine,AU,2022-10-16 21:44:03,-14.4667,132.2667,82.72,69,99,4.61
34,Ihosy,MG,2022-10-16 21:44:03,-22.4,46.1167,62.13,87,26,6.15
35,Mareeba,AU,2022-10-16 21:44:04,-17.0,145.4333,74.12,87,72,4.16
36,Nome,US,2022-10-16 21:44:04,64.5011,-165.4064,32.07,86,100,10.36
37,Talcahuano,CL,2022-10-16 21:44:05,-36.7167,-73.1167,56.88,77,0,13.8
38,Padang,ID,2022-10-16 21:44:05,-0.9492,100.3543,76.12,87,100,2.75
39,Albany,US,2022-10-16 21:42:35,42.6001,-73.9662,56.57,62,51,2.3
40,Charlottesville,US,2022-10-16 21:43:29,38.0293,-78.4767,64.13,90,100,5.75
41,Hithadhoo,MV,2022-10-16 21:44:06,-0.6,73.0833,80.73,67,100,9.26
42,Port Alfred,ZA,2022-10-16 21:44:06,-33.5906,26.891,65.17,92,100,1.01
43,Belyy Yar,RU,2022-10-16 21:44:07,53.6039,91.3903,19.29,93,92,0.0
44,Praia Da Vitoria,PT,2022-10-16 21:44:07,38.7333,-27.0667,66.76,68,75,19.46
